Seal,TOPPID,MassDeploy,MassRec,MassChange,MaxLat,MinLon,Cmidpoint,Nmidpoint,ReproSuccess,PercBenthic,MeanForagingDepth,DriftRateMean,DriftRateSum,DatePosBuoy,DateTurnAround
G3190,2014026,334,495,161,48.42847069,-147.0283137,-18.16,13.10,1,0.084536474,476.9153846,0.002015505,0.401085466,735861,735869
GT740,2014028,364,509,145,45.12415076,-179.6588281,-17.29,13.16,0,0.047996477,563.8823529,-2.60E-05,-0.004545,NA,735860
GT220,2014033,381,524,143,45.67664978,-167.9008501,-17.05,13.67,1,0.029562044,495.9670055,0.003520295,0.542125426,735871,735880
G3373,2014034,314,488,174,46.36847932,-174.1261289,-17.40,12.93,1,0.018737073,503.6329736,0.003971156,0.512279171,735867,735883
GX822,2015026,356,473,117,50.93300478,-150.3545358,-17.32,15.25,1,0.056578477,549.7955892,-0.000733371,-0.143007365,NA,736298
G6356,2015036,211,384,173,53.00488013,-174.7014731,-18.12,12.56,1,0.050465099,462.6682181,0.002112389,0.462613293,736250,736231
GX674,2015037,316,498,182,46.48669973,-168.5489096,-17.27,14.07,1,0.043933968,538.4929502,0.002693062,0.530533291,736238,736254
G3960,2015040,322,526,204,49.01953722,-171.9220205,-17.32,13.79,1,0.03014428,544.2424528,0.002247922,0.490047028,736261,736263
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
